name,popularity,genres,followers,id
Rage Against The Machine,70,"{""alternative metal"", ""alternative rock"", ""conscious hip hop"", ""funk metal"", ""nu metal"", ""political hip hop"", ""rap metal"", ""rap rock"", ""rock""}",5145547,2d0hyoQ5ynDBnkvAbJKORj
Daryl Hall & John Oates,71,"{""album rock"", ""classic rock"", ""mellow gold"", ""rock"", ""soft rock"", ""yacht rock""}",1952847,77tT1kLj6mCWtFNqiOmP9H
Will Young,48,"{""dance pop"", ""europop"", ""new wave pop""}",343924,2U6gqwyl9F33YxawnFrZG7
Bruce Cockburn,45,"{""canadian singer-songwriter"", ""classic canadian rock"", ""country rock"", ""folk"", ""folk rock"", ""mellow gold"", ""roots rock"", ""singer-songwriter""}",51019,4sh4MHP7lhrSUakxwZzwqz
Tori Amos,54,"{""dark pop"", ""ectofolk"", ""lilith"", ""melancholia"", ""new wave pop"", ""permanent wave"", ""piano rock"", ""pop rock"", ""singer-songwriter""}",678565,1KsASRNugxU85T0u6zSg32
Kate Campbell,8,"{""folk"", ""lilith""}",3123,1NZA6DefBtQo2PgcmBtnTg
Death & Desire,0,"{""""}",77,3jfxxO6JNrzzhov82l1wX2
zebrahead,54,"{""funk metal"", ""pop punk"", ""punk"", ""rap rock"", ""skate punk""}",303987,6SiyKSeJo6gcsS2NvuAbsl
Ani DiFranco,46,"{""anti-folk"", ""buffalo ny indie"", ""ectofolk"", ""lilith"", ""pop rock"", ""singer-songwriter"", ""women''s music""}",219911,0AiTwNtYX8m4uhfU7rJ8RD
Rufio,36,"{""emo"", ""pop punk"", ""screamo"", ""skate punk""}",70526,0HjoyITAvSVktTCjXUa40Q
Bride,26,"{""christian metal"", ""christian punk"", ""christian rock"", ""deep christian rock"", ""kentucky metal""}",26987,3G7qoMSLvu9Pmb0xGtf9fl
The Call,30,"{""new wave""}",30013,2bSugToVO8DavocRulW3Yj
Nodesha,11,"{""""}",439,0m3R4g8wdmgu5YByHlrmQX
Bobby Ross Avila,12,"{""""}",264,6VpZD6SRjh5ZurP9tw4qso
IZ,15,"{""""}",502,0CmzwU6uibzA5qohaDZCkg
ABS,11,"{""oldschool deutschrap""}",1378,4WivN6D56Y1AtjWPQ0HRRt
Tom Elmhirst,13,"{""""}",29,5WaP94Hy4PJeRJjaPb0emQ
Westlife,69,"{""boy band"", ""europop""}",3304470,5Z1CCuBsyhEHngq3U5IraY
Resurrection Band,22,"{""christian metal"", ""christian punk"", ""deep christian rock""}",17276,3MAQykZ3MwPcviv5eIVqgb
The Highwaymen,59,"{""outlaw country""}",566247,6e7QpHYqEiyJGiM98IysLa
Willie Nelson,69,"{""classic country pop"", ""country"", ""country rock"", ""nashville sound"", ""outlaw country"", ""singer-songwriter"", ""texas country""}",1816844,5W5bDNCqJ1jbCgTxDD0Cb3
Johnny Cash,73,"{""arkansas country"", ""outlaw country""}",5568595,6kACVPfCOnqzgfEF5ryl0x
Waylon Jennings,66,"{""country"", ""country rock"", ""outlaw country"", ""texas country""}",1215348,7wCjDgV6nqBsHguQXPAaIM
Kris Kristofferson,62,"{""country rock"", ""folk"", ""folk rock"", ""mellow gold"", ""outlaw country"", ""roots rock"", ""singer-songwriter""}",500565,0vYQRW5LIDeYQOccTviQNX
The Stone Roses,59,"{""alternative rock"", ""britpop"", ""dance rock"", ""madchester"", ""modern rock"", ""rock""}",1306093,1lYT0A0LV5DUfxr6doRP3d
Mahousyoujoninaritai,17,"{""""}",8679,1RyaEHmNw5yy6GrUsqnvz8
Johnny Winter,45,"{""blues"", ""blues rock"", ""classic rock"", ""country rock"", ""electric blues"", ""hard rock"", ""modern blues"", ""texas blues""}",454775,2ODUxmFxJSyvGiimNhMHbO
